address,postal,city,lat,lon
1 Frizzell Ave,M4K 1H8,Toronto,43.673818,-79.3447315
53 Kensington Ave,M5T 2J8,Toronto,43.6539302,-79.4001706
2758 Yonge St,M4N 2J2,Toronto,43.718622,-79.40122079999999
10 The Queensway,M6R 1B4,Toronto,43.6388472,-79.4464619
13 Gillespie Ave,M6N 2Y5,Toronto,43.67089319999999,-79.45831319999999
30 Lascelles Blvd,M5P 2C7,Toronto,43.698302,-79.4010174
38 Avoca Ave,M4T 2B9,Toronto,43.6886524,-79.38993359999999
3347 Yonge St,M4N 2M6,Toronto,43.731391,-79.4035566
23 Saunders Ave,M6R 1B9,Toronto,43.6408805,-79.44053389999999
28 Hillcrest Dr,M6G 2E1,Toronto,43.6766809,-79.42567180000002
144 Major St,M5S 2L2,Toronto,43.6619401,-79.4047384
4 Wellesley Cottages,M4X 1J1,Toronto,43.6691935,-79.3676461
5 Alfresco Lwn,M4L 1B8,Toronto,43.6675505,-79.295248
68 Alhambra Ave,M6R 2S6,Toronto,43.65556,-79.4538798
362 Briar Hill Ave,M4R 1J2,Toronto,43.7115196,-79.4108866
108 Concord Ave,M6H 2P3,Toronto,43.657492,-79.4254996
325 Salem Ave,M6H 3C8,Toronto,43.66879120000001,-79.4347078
970 Bloor St W,M6H 1L6,Toronto,43.6613719,-79.4289816
